English,Bulgarian
part,част
history,история
search,търсене
only,само
police,полиция
thought,мислех
help,помощ
request,молба
kind,вид
month,месец
brother,брат
let,позволявам
because,защото
to put,слагам
no,не
leash,каишка
them,тях
city,град
each,всеки
speak,говоря
come,идва
should,трябва
baby,бебе
long time,дълго време
hours,часове
will,ще
while,докато
meet again,виждам отново
any,който и да е
square,площад
speak,говоря
understood,разбрах
knew,знаех
were,бяха
Warning,Внимание
here is,ето
could,бих могъл
case,случай
give,давам
type,тип
their,техен
given,даден
train,влак
body,тяло
place,място
eyes,очи
way,начин
listen,слушай
whose,чийто
find,намирам
first,първи
lost,изгубен
hand,ръка
first,първи
side,страна
power,сила
old,стар
be,бъди
here,ето
morning,сутрин
so much,толкова много
child,дете
point,точка
came,дойде
after,след
sorry,съжалявам
come,елате
in front of,пред
towards,към
minutes,минути
request,поискал
bedroom,спалня
placed,поставен
beautiful,красива
law,закон
would like to,бих искал
today,днес
husband,съпруг
cause,причина
finally,най-накрая
hope,надявам се
water,вода
Wait,Изчакайте
left,напуснал
new,нов
job,работа
Stop,Спри
would say,би казал
Earth,Земя
account,акаунт
given,дал
far,далеч
end,край
believe,вярвам
sweetheart,скъпа
large,голям
rather,по-скоро
will have,ще има
girls,момичета
to play,играя
office,офис
the,този
be,бъда
to,до
of,на
and,и
a,един
in,в
have,имам
it,то
I,аз
that,че
for,за
you,ти
he,той
with,с
on,върху
do,правя
say,казвам
this,това
they,те
at,при
but,но
we,ние
his,негов
from,от
not,не
by,от
she,тя
or,или
as,като
what,какво
go,отивам
their,техен
can,мога
who,кой
get,получавам
if,ако
would,бих
her,нея
all,всички
my,мой
make,правя
about,относно
know,зная
will,ще
up,нагоре
one,един
time,време
there,там
year,година
so,така
think,мисля
when,когато
which,който
them,тях
some,някои
me,мен
people,хора
take,вземам
out,навън
into,в
just,просто
see,виждам
him,него
your,твой
come,идвам
could,можех
now,сега
than,отколкото
like,харесвам
other,друг
how,как
then,тогава
its,неговото
our,наш
two,две
more,повече
these,тези
want,искам
way,начин
look,гледам
first,първи
also,също
new,нов
because,защото
day,ден
more,повече
use,използвам
no,не
man,мъж
find,намирам
here,тук
thing,нещо
give,давам
many,много
well,добре
only,само
those,онези
tell,казвам
very,много
even,дори
back,назад
any,който и да е
good,добър
woman,жена
through,през
us,нас
life,живот
child,дете
work,работа
down,надолу
may,може би
after,след
should,трябва
call,обаждам се
world,свят
over,над
school,училище
still,все още
try,опитвам
in,в
as,като
last,последен
ask,питам
need,нуждая се
too,също
feel,чувствам
three,три
when,когато
state,щат / състояние
never,никога
become,ставам
between,между
high,висок
really,наистина
something,нещо
most,повечето
another,друг
much,много
family,семейство
own,собствен
leave,напускам
put,слагам
old,стар
while,докато
mean,означавам
on,върху
keep,запазвам
student,студент
why,защо
let,позволявам
great,страхотен
same,същият
big,голям
group,група
begin,започвам
seem,изглежда
country,страна
help,помощ
talk,говоря
where,къде
turn,завъртам
problem,проблем
every,всеки
start,започвам
hand,ръка
might,може би
American,американски
show,показвам
part,част
about,относно
against,срещу
place,място
over,над
such,такъв
again,отново
few,няколко
case,случай
most,най-много
week,седмица
company,компания
where,където
system,система
each,всеки
right,дясно / право
program,програма
hear,чувам
so,така
question,въпрос
during,по време на
work,работа
play,играя
government,правителство
run,тичам
small,малък
number,номер
off,извън
always,винаги
move,движа се
night,нощ
live,живея
point,точка
believe,вярвам
hold,държа
today,днес
bring,донасям
happen,случва се
next,следващ
without,без
before,преди
large,голям
million,милион
must,трябва
home,дом
under,под
water,вода
room,стая
write,пиша
mother,майка
area,област
national,национален
money,пари
story,история
young,млад
fact,факт
month,месец
different,различен
lot,много
right,правилен
study,уча
book,книга
eye,око
job,работа
word,дума
though,въпреки че
business,бизнес
issue,въпрос / проблем
side,страна
kind,вид
four,четири
head,глава
far,далеч
black,черен
long,дълъг
both,и двата
little,малко
house,къща
yes,да
after,след
since,оттогава
long,дълго
provide,предоставям
service,услуга
friend,приятел
important,важен
father,баща
sit,сядам
away,далеч
until,докато
power,мощност
hour,час
game,игра
often,често
yet,все още
line,линия
end,край
member,член
law,закон
car,кола
city,град
community,общност
name,име
president,президент
team,отбор
minute,минута
idea,идея
kid,дете
body,тяло
information,информация
nothing,нищо
ago,преди
lead,водя
social,социален
understand,разбирам
whether,дали
watch,гледам
together,заедно
follow,следвам
around,наоколо
parent,родител
only,само
stop,спирам
face,лице
anything,каквото и да е
create,създавам
public,публичен
already,вече
speak,говоря
others,други
read,чета
level,ниво
allow,позволявам
add,добавям
office,офис
spend,харча
door,врата
health,здраве
person,човек
art,изкуство
sure,сигурен
war,война
history,история
party,партия
within,в рамките на
grow,раста
result,резултат
open,отворен
change,променям
morning,сутрин
walk,разхождам се
reason,причина
low,нисък
win,печеля
research,изследване
girl,момиче
guy,тип / човек
early,рано
food,храна
moment,момент
himself,самият той
air,въздух
teacher,учител
force,сила
offer,предлагам
enough,достатъчно
both,и двамата
education,образование
across,през
although,въпреки че
remember,помня
foot,крак
second,втори
boy,момче
maybe,може би
toward,към
able,способен
age,възраст
policy,политика
everything,всичко
process,процес
music,музика
including,включително
consider,обмислям
appear,появявам се
actually,всъщност
buy,купувам
probably,вероятно
human,човешки
wait,чакам
serve,служа
market,пазар
die,умирам
send,изпращам
expect,очаквам
home,дом
sense,смисъл
build,строя
stay,оставам
fall,падам
oh,о
nation,нация
plan,план
cut,режа
college,колеж
interest,интерес
death,смърт
course,курс
someone,някой
experience,опит
behind,зад
reach,достигам
local,местен
kill,убивам
six,шест
remain,оставам
effect,ефект
use,употреба
yeah,да
suggest,предлагам
class,клас
control,контрол
raise,повишавам
care,грижа
perhaps,може би
little,малко
late,късно
hard,трудно
field,поле
else,друго
pass,минавам
former,бивш
sell,продавам
major,основен
sometimes,понякога
require,изисквам
along,по протежение на
development,развитие
themselves,самите те
report,доклад
role,роля
better,по-добре
economic,икономически
effort,усилие
decide,решавам
rate,ставка
strong,силен
possible,възможен
heart,сърце
drug,лекарство
show,предаване / показвам
leader,лидер
light,светлина
voice,глас
wife,съпруга
whole,цял
police,полиция
mind,ум
finally,накрая
pull,дърпам
return,връщам се
free,свободен
military,военен
price,цена
less,по-малко
according,според
decision,решение
explain,обяснявам
son,син
hope,надявам се
develop,развивам
view,гледка
relationship,връзка
carry,нося
town,град
road,път
drive,шофирам
arm,ръка (ръкав)
true,вярно
federal,федерален
break,почивка / чупя
difference,разлика
thank,благодаря
receive,получавам
value,стойност
international,международен
building,сграда
action,действие
full,пълен
model,модел
join,присъединявам се
season,сезон
society,общество
because of,заради
tax,данък
director,директор
position,позиция
player,играч
agree,съгласявам се
especially,особено
record,запис
pick,избирам
wear,нося
paper,хартия
special,специален
space,пространство
ground,земя
form,форма
support,подкрепа
event,събитие
official,официален
whose,чийто
matter,има значение / въпрос
everyone,всеки
center,център
couple,двойка
site,сайт / място
end,край
project,проект
hit,удрям
base,основа
activity,дейност
star,звезда
table,маса
need,нужда
court,съд
produce,произвеждам
eat,ям
teach,преподавам
oil,нефт / олио
half,половина
situation,ситуация
easy,лесен
cost,цена
industry,индустрия
figure,цифра / фигура
face,лице
street,улица
image,изображение
itself,самото
phone,телефон
either,или
data,данни
cover,покривам
quite,доста
picture,картина
clear,ясно
practice,практика
piece,парче
land,земя
recent,скорошен
describe,описвам
product,продукт
doctor,лекар
wall,стена
patient,пациент
worker,работник
news,новини
test,тест
movie,филм
certain,определен
north,север
love,любов
personal,личен
open,отварям
support,поддържам
simply,просто
third,трети
technology,технология
catch,хващам
step,стъпка
baby,бебе
computer,компютър
type,тип
attention,внимание
draw,рисувам
film,филм
Republican,републиканец
tree,дърво
source,източник
red,червен
nearly,почти
organization,организация
choose,избирам
cause,причина
hair,коса
century,век
evidence,доказателство
window,прозорец
difficult,труден
listen,слушам
soon,скоро
culture,култура
billion,милиард
chance,шанс
brother,брат
energy,енергия
period,период
course,курс
summer,лято
realize,осъзнавам
hundred,сто
available,наличен
plant,растение
likely,вероятно
opportunity,възможност
term,срок
short,кратък
letter,писмо
condition,състояние
choice,избор
place,поставям
single,самотен / единичен
rule,правило
daughter,дъщеря
administration,администрация
south,юг
husband,съпруг
Congress,Конгрес
floor,етаж
campaign,кампания
material,материал
population,население
well,кладенец / добре
call,обаждане
economy,икономика
medical,медицински
hospital,болница
church,църква
close,затварям
thousand,хиляда
risk,риск
current,текущ
fire,пожар
future,бъдеще
wrong,грешен
involve,включвам
defense,отбрана
anyone,някой
increase,увеличавам
security,сигурност
bank,банка
myself,самият аз
certainly,със сигурност
west,запад
sport,спорт
board,дъска / съвет
seek,търся
per,на / за
subject,предмет
officer,офицер
private,частен
rest,почивка
behavior,поведение
deal,споразумение
performance,представяне
fight,битка
throw,хвърлям
top,върхът
quickly,бързо
past,минало
goal,цел
