,English,Bulgarian
0,part,част
1,history,история
2,search,търсене
3,only,само
4,police,полиция
5,thought,мислех
6,help,помощ
7,request,молба
8,kind,вид
9,month,месец
10,brother,брат
11,let,позволявам
12,because,защото
13,to put,слагам
14,no,не
15,leash,каишка
16,them,тях
17,city,град
18,each,всеки
19,speak,говоря
20,come,идва
21,should,трябва
22,baby,бебе
23,long time,дълго време
24,hours,часове
25,will,ще
26,while,докато
27,meet again,виждам отново
28,any,който и да е
29,square,площад
30,speak,говоря
31,understood,разбрах
32,knew,знаех
33,were,бяха
34,Warning,Внимание
35,here is,ето
36,could,бих могъл
37,case,случай
38,give,давам
39,type,тип
40,their,техен
41,given,даден
42,train,влак
43,body,тяло
44,place,място
45,eyes,очи
46,way,начин
47,listen,слушай
48,whose,чийто
49,find,намирам
50,first,първи
51,lost,изгубен
52,hand,ръка
53,first,първи
54,side,страна
55,power,сила
56,old,стар
57,be,бъди
58,here,ето
59,morning,сутрин
60,so much,толкова много
61,child,дете
62,point,точка
63,came,дойде
64,after,след
65,sorry,съжалявам
66,come,елате
67,in front of,пред
68,towards,към
69,minutes,минути
70,request,поискал
71,bedroom,спалня
72,placed,поставен
73,beautiful,красива
74,law,закон
75,would like to,бих искал
76,today,днес
77,husband,съпруг
78,cause,причина
79,finally,най-накрая
80,hope,надявам се
81,water,вода
82,Wait,Изчакайте
83,left,напуснал
84,new,нов
85,job,работа
86,Stop,Спри
87,would say,би казал
88,Earth,Земя
89,account,акаунт
90,given,дал
91,far,далеч
92,end,край
93,believe,вярвам
94,sweetheart,скъпа
95,large,голям
96,rather,по-скоро
97,will have,ще има
98,girls,момичета
99,to play,играя
100,office,офис
101,the,този
102,be,бъда
103,to,до
104,of,на
105,and,и
106,a,един
107,in,в
108,have,имам
109,it,то
110,I,аз
111,that,че
112,for,за
113,you,ти
114,he,той
115,with,с
116,on,върху
117,do,правя
118,say,казвам
119,this,това
120,they,те
121,at,при
122,but,но
123,we,ние
124,his,негов
125,from,от
126,not,не
127,by,от
128,she,тя
129,or,или
130,as,като
131,what,какво
132,go,отивам
133,their,техен
134,can,мога
135,who,кой
136,get,получавам
137,if,ако
138,would,бих
139,her,нея
140,all,всички
141,my,мой
142,make,правя
143,about,относно
144,know,зная
145,will,ще
146,up,нагоре
147,one,един
148,time,време
149,there,там
150,year,година
151,so,така
152,think,мисля
153,when,когато
154,which,който
155,them,тях
156,some,някои
157,me,мен
158,people,хора
159,take,вземам
160,out,навън
161,into,в
162,just,просто
163,see,виждам
164,him,него
165,your,твой
166,come,идвам
167,could,можех
168,now,сега
169,than,отколкото
170,like,харесвам
171,other,друг
172,how,как
173,then,тогава
174,its,неговото
175,our,наш
176,two,две
177,more,повече
178,these,тези
179,want,искам
180,way,начин
181,look,гледам
182,first,първи
183,also,също
184,new,нов
185,because,защото
186,day,ден
187,more,повече
188,use,използвам
189,no,не
190,man,мъж
191,find,намирам
192,here,тук
